qq,creditor,debtor,amount
400,Germany,Myanmar,1
401,Germany,Cambodia,1
402,Germany,US,34
403,Germany,South Korea,23
404,Germany,Ukraine,2
405,Germany,Mexico,22
406,Germany,UK,27
407,Germany,Austria,51
408,US,Bangladesh,3
409,US,Belgium,2
410,US,France,40
411,US,Mongolia,1
412,US,Djibouti,1
413,US,Ukraine,1
414,US,Russian Federation,14
415,US,Germany,7
416,US,Japan,28
417,US,Hungary,1
418,US,Jamaica,8
419,US,Jordan,1
420,US,Algeria,1
421,US,Brazil,1
422,US,Greece,24
423,US,Puerto Rico,1
424,US,Palestine,1
425,US,Lebanon,21
426,US,Portugal,7
427,US,Taiwan,1
428,US,Turkey,9
429,US,Sri Lanka,1
430,US,Nigeria,1
431,US,Tunisia,1
432,US,Lithuania,1
433,US,Cuba,11
434,US,Thailand,21
435,US,Netherlands,3
436,US,Nepal,1
437,US,Pakistan,4
438,US,Philippines,19
439,US,Ghana,1
440,US,Egypt,5
441,US,Poland,1
442,US,Ecuador,1
443,US,Venezuela,2
444,US,Ivory Coast,1
445,US,Switzerland,1
446,US,Colombia,4
447,US,China,69
448,US,Afghanistan,5
449,US,Iraq,2
450,US,Yemen,3
451,US,Canada,6
452,US,Islamic Republic of Iran,1
453,US,Armenia,2
454,US,Italy,111
455,US,Angola,1
456,US,South Africa,2
457,US,Argentina,1
458,US,Austria,1
459,US,India,60
460,US,Vietnam,5
461,US,Ethiopia,4
462,US,Ireland,2
463,US,Indonesia,3
464,US,Spain,15
465,US,Eritrea,1
466,US,Peru,7
467,US,Syria,1
468,US,Romania,1
469,US,Morocco,1
470,US,Uzbekistan,1
471,US,Myanmar,3
472,US,Singapore,1
473,US,Israel,6
474,US,Cambodia,2
475,US,El Salvador,1
476,US,South Korea,36
477,US,Saudi Arabia,1
478,US,Malaysia,1
479,US,Mexico,64
480,US,UK,34
481,Australia,Bangladesh,1
482,Australia,Belgium,2
483,Australia,France,89
484,Australia,Mongolia,2
485,Australia,Denmark,1
486,Australia,Brunei,2
487,Australia,Germany,4
488,Australia,Japan,31
489,Australia,Hungary,3
490,Australia,Jamaica,8
491,Australia,Algeria,1
492,Australia,Brazil,3
493,Australia,Greece,76
494,Australia,Russian Federation,19
495,Australia,Lebanon,20
496,Australia,Portugal,2
497,Australia,Malta,7
498,Australia,Ukraine,1
499,Australia,Turkey,22
500,Australia,Sri Lanka,1
501,Australia,Nigeria,3
502,Australia,Cuba,1
503,Australia,Thailand,58
504,Australia,Netherlands,5
505,Australia,Nepal,9
506,Australia,Pakistan,15
507,Australia,Philippines,27
508,Australia,Romania,2
509,Australia,Canada,21
510,Australia,Switzerland,3
511,Australia,Colombia,5
512,Australia,China,198
513,Australia,Afghanistan,11
514,Australia,Iraq,7
515,Australia,Yemen,1
516,Australia,Egypt,21
517,Australia,Islamic Republic of Iran,4
518,Australia,Armenia,5
519,Australia,Italy,175
520,Australia,Vietnam,7
521,Australia,South Africa,15
522,Australia,UK,122
523,Australia,India,102
524,Australia,Ethiopia,1
525,Australia,Ireland,15
526,Australia,Indonesia,23
527,Australia,Spain,29
528,Australia,Peru,2
529,Australia,Syria,1
530,Australia,Morocco,1
531,Australia,Myanmar,3
532,Australia,Singapore,20
533,Australia,Israel,4
534,Australia,Cambodia,1
535,Australia,El Salvador,1
536,Australia,US,104
537,Australia,South Korea,63
538,Australia,Malaysia,25
539,Australia,Mexico,18
540,Australia,Austria,8
