State,No. cucine ospitate,Diffusione estero
United States,74,97
Russia,29,59
Germany,49,46
Saudi Arabia,18,14
Canada,61,24
Spain,46,49
United Kingdom,71,75
France,49,74
Australia,61,8
India,39,93
Ukraine,18,19
Italy,51,94
Israel,25,31
Myanmar,40,26
Japam,46,52
Iran,18,24
Jordan,11,8
Singapore,37,28
South Africa,24,34
Switzerland,29,31
Argentina,28,7
Turkey,32,68
