qq,creditor,debtor,amount, risk
232,IT,IL,0.52
233,IT,IN,3.38
234,IT,ET,1.30
235,IT,IE,0.78
236,IT,ID,0.78
237,IT,ES,6.75
238,IT,PE,0.52
239,IT,UZ,0.26
240,IT,MM,0.26
241,IT,KH,0.52
242,IT,US,9.35
243,IT,KR,4.94
244,IT,UA,0.26
245,IT,MX,3.64
246,IT,GB,7.79
247,ES,FR,5.71
248,ES,VE,0.71
249,ES,DE,1.19
250,ES,JP,5.95
251,ES,HU,0.48
252,ES,DZ,0.95
253,ES,BR,0.24
254,ES,NG,0.48
255,ES,GR,2.62
256,ES,RU,3.81
257,ES,LB,0.95
258,ES,PT,2.62
259,ES,TW,0.24
260,ES,TR,0.71
261,ES,CV,0.24
262,ES,TN,0.24
263,ES,LT,0.24
264,ES,CU,3.57
265,ES,TH,1.19
266,ES,PE,5.00
267,ES,PH,3.57
268,ES,RO,0.48
269,ES,PL,1.19
270,ES,CH,0.48
271,ES,CO,2.62
272,ES,CN,3.33
273,ES,AF,0.24
274,ES,IQ,0.48
275,ES,EG,0.71
276,ES,AM,0.24
277,ES,IT,24.29
278,ES,EC,0.24
279,ES,ZA,0.24
280,ES,AU,0.24
281,ES,IL,0.24
282,ES,IN,3.57
283,ES,ID,1.19
284,ES,ES,0
285,ES,SY,0.48
286,ES,MA,1.19
287,ES,SV,0.24
288,ES,US,4.05
289,ES,KR,0.95
290,ES,MX,8.10
291,ES,GB,4.29
292,ES,AT,0.24
293,MY,BE,0.07
294,MY,FR,1.62
295,MY,BN,2.51
296,MY,DE,0.22
297,MY,JP,1.85
298,MY,HU,0.07
299,MY,JM,0.07
300,MY,DZ,0.15
301,MY,GR,0.07
302,MY,RU,0.22
303,MY,LB,0.22
304,MY,PT,0.22
305,MY,TW,0.07
306,MY,TR,0.89
307,MY,TH,4.58
308,MY,NP,0.07
309,MY,PK,0.22
310,MY,PH,0.89
311,MY,CH,0.07
312,MY,CN,27.84
313,MY,YE,2.07
314,MY,EG,0.15
315,MY,IR,0.07
316,MY,IT,1.77
317,MY,VN,0.15
318,MY,IL,0.07
319,MY,IN,13.22
320,MY,NL,0.07
321,MY,ID,18.83
322,MY,CU,0.07
323,MY,MM,0.07
324,MY,SG,12.26
325,MY,MN,0.07
326,MY,US,2.14
327,MY,KR,3.91
328,MY,SA,0.07
329,MY,MY,0
330,MY,MX,0.37
331,MY,GB,2.14
332,MY,AT,0.52
333,MX,BE,0.55
334,MX,FR,7.10
335,MX,DE,1.64
336,MX,JP,4.92
337,MX,HU,0.55
338,MX,JM,1.09
339,MX,DZ,0.55
340,MX,GR,3.83
341,MX,LB,0.55
342,MX,TR,0.55
343,MX,TH,1.09
344,MX,PE,3.28
345,MX,NP,0.55
346,MX,PK,0.55
347,MX,PH,3.83
348,MX,CH,1.09
349,MX,CO,2.19
350,MX,CN,4.92
351,MX,VE,2.19
352,MX,IT,14.21
353,MX,AR,0.55
354,MX,IL,0.55
355,MX,IN,2.19
356,MX,NL,1.09
357,MX,IE,1.09
358,MX,ES,22.95
359,MX,GH,0.55
360,MX,MA,0.55
361,MX,US,7.10
362,MX,KR,4.92
363,MX,MY,0.55
364,MX,MX,0
365,MX,GB,2.19
366,MX,AT,0.55
367,FR,BD,0.21
368,FR,BE,1.47
369,FR,FR,0
370,FR,VE,0.21
371,FR,DE,0.84
372,FR,JP,6.71
373,FR,JM,0.21
374,FR,DZ,2.94
375,FR,BR,0.21
376,FR,GR,2.73
377,FR,RU,2.31
378,FR,LB,2.10
379,FR,PT,0.84
380,FR,MT,0.21
381,FR,TR,1.68
382,FR,NG,0.42
383,FR,TN,0.84
384,FR,CU,0.21
385,FR,TH,1.47
386,FR,PE,1.05
387,FR,NP,0.21
388,FR,PK,0.21
389,FR,PH,1.05
390,FR,RO,1.26
391,FR,PL,0.21
392,FR,CI,1.47
393,FR,CH,1.26
394,FR,CN,3.77
395,FR,AF,0.21
396,FR,IQ,0.42
397,FR,EG,1.05
398,FR,IR,0.63
399,FR,IT,25.37
400,FR,VN,0.63
401,FR,ZA,0.21
402,FR,IL,0.42
403,FR,IN,4.61
404,FR,ET,0.42
405,FR,ID,1.89
406,FR,ES,3.35
407,FR,MA,4.40
408,FR,UA,0.21
409,FR,KH,0.21
410,FR,US,6.29
411,FR,KR,4.40
412,FR,MY,0.42
413,FR,MX,1.26
414,FR,GB,7.34
415,FR,AT,0.21
416,NL,BE,0.32
417,NL,FR,8.57
418,NL,DE,0.32
419,NL,JP,0.95
420,NL,HU,0.32
421,NL,JM,0.63
422,NL,NL,0
423,NL,GR,3.81
424,NL,RU,1.59
425,NL,LB,2.54
426,NL,PT,0.63
427,NL,TR,0.95
428,NL,CV,1.27
429,NL,TH,5.71
430,NL,PE,0.63
431,NL,NP,0.63
432,NL,PK,0.32
433,NL,PH,0.63
434,NL,PL,0.32
435,NL,CH,0.32
436,NL,CN,4.44
437,NL,EG,1.90
438,NL,IR,0.32
439,NL,AM,0.63
440,NL,IT,15.56
441,NL,EC,0.32
442,NL,ZA,0.32
443,NL,IL,0.32
444,NL,IN,8.89
445,NL,VN,0.63
446,NL,ET,0.95
447,NL,IE,0.32
448,NL,ID,21.90
449,NL,ES,0.32
450,NL,SY,0.32
451,NL,MA,0.95
452,NL,US,2.86
453,NL,KR,2.22
454,NL,MY,0.32
455,NL,MX,0.95
